product_bought,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
N,F,HS,46662,Under 35,N,F,Married,NA,Sales/Service,Low,Renter,Midwest,3,D
Y,M,HS,0,Under 45,N,C,Married,Y,Sales/Service,Low,Renter,South,3,A
N,F,College,60887,Under 25,N,G,NA,Y,Sales/Service,Low,Renter,Midwest,5,D
N,M,Bach,778260,Under 55,N,B,Married,NA,Professional,Low,Owner,West,1,L
N,F,HS,90404,Under 55,Y,J,NA,Y,Sales/Service,Low,Owner,South,4,E
N,F,Less than HS,381500,Under 65,Y,D,Married,N,Retired,Med,Owner,West,1,F
Y,M,Grad,371820,Under 45,N,B,Married,Y,Professional,Low,Owner,South,1,G
N,F,Bach,129870,NA,Y,C,NA,NA,Sales/Service,Low,Owner,Midwest,2,F
N,M,HS,0,Under 55,Y,A,Single,N,Blue Collar,Low,Renter,Midwest,3,B
N,M,College,121398,NA,N,F,Married,NA,Sales/Service,Low,NA,South,8,E
N,F,College,134288,Under 65,N,B,NA,N,Sales/Service,Low,Owner,South,3,E
Y,F,College,274680,Under 45,Y,B,Married,Y,Professional,High,Owner,South,1,B
N,M,College,285353,Under 55,N,I,NA,NA,Professional,Low,Owner,West,1,E
N,F,NA,582365,Under 25,N,B,NA,N,Professional,Low,Owner,Northeast,1,K
Y,F,Less than HS,356560,Under 55,Y,B,Married,Y,Sales/Service,Med,Owner,South,1,G
N,M,HS,247746,Under 55,Y,B,Married,NA,Blue Collar,Low,Owner,Midwest,8,E
N,F,College,0,Under 25,Y,G,Single,Y,Sales/Service,Low,NA,West,3,A
N,F,Grad,248520,Over 65,Y,D,Married,N,Professional,Low,Owner,Northeast,4,E
N,F,Less than HS,0,Under 45,N,G,Single,Y,Sales/Service,Low,Renter,South,9,A
N,F,HS,0,NA,Y,I,Single,NA,Sales/Service,Low,Owner,West,9,A
N,M,Less than HS,121753,NA,N,G,NA,Y,Sales/Service,Low,Renter,Northeast,2,A
N,NA,Grad,735750,NA,N,B,Married,NA,Professional,High,Owner,Midwest,6,J
N,F,HS,36029,Under 55,Y,I,NA,Y,Sales/Service,Low,Owner,South,8,B
Y,M,Grad,0,Under 35,Y,F,Single,NA,Blue Collar,Low,Renter,Northeast,3,D
Y,M,Bach,296741,Under 65,Y,C,Married,Y,Professional,High,Owner,Northeast,1,H
Y,M,Bach,1383733,Under 65,Y,B,NA,NA,Professional,Low,Owner,South,1,K
Y,M,Bach,395125,Under 55,Y,C,Married,Y,Sales/Service,High,Owner,South,1,J
N,F,NA,0,Under 45,Y,I,Married,NA,Blue Collar,Low,Owner,South,3,D
N,F,College,0,Under 25,N,G,NA,NA,Sales/Service,Low,Renter,South,7,A
N,F,HS,173462,Under 55,Y,E,Married,NA,Blue Collar,Low,Owner,Midwest,5,E
N,F,HS,286353,Under 55,N,C,NA,N,Sales/Service,Med,Owner,Northeast,1,K
N,M,Bach,198652,NA,N,E,NA,NA,Professional,Low,Owner,South,1,E
Y,F,Grad,123377,Under 65,Y,F,Single,N,Professional,Low,Owner,South,2,A
N,F,HS,87200,Over 65,N,F,NA,N,Retired,Low,Owner,Midwest,4,C
N,F,College,113632,Under 65,Y,F,NA,N,Professional,Low,Owner,Midwest,1,E
N,M,Bach,143945,Under 55,Y,F,Married,N,Professional,Low,Owner,Midwest,6,F
Y,F,Bach,205781,Under 45,Y,C,Married,Y,Sales/Service,Low,Owner,South,3,G
N,F,College,333703,NA,Y,E,Married,NA,Sales/Service,Low,Owner,Northeast,2,H
Y,M,Bach,0,Under 45,Y,C,Married,Y,Professional,Low,Owner,Midwest,3,E
Y,M,HS,174814,Under 45,Y,F,Married,NA,Sales/Service,Low,NA,South,8,E
Y,M,Bach,816682,NA,Y,C,Married,Y,Sales/Service,Low,Owner,South,1,F
N,F,Bach,0,Under 65,Y,H,NA,N,Retired,Low,Renter,South,2,C
N,F,HS,117027,Under 35,Y,G,NA,Y,Sales/Service,Low,Owner,South,8,G
N,NA,Less than HS,97440,NA,N,G,NA,NA,Sales/Service,Low,Renter,South,6,A
Y,M,NA,976912,NA,Y,B,NA,NA,Others,Med,Owner,Midwest,1,L
Y,M,Grad,221836,Under 65,Y,I,Single,N,Professional,Med,Owner,Midwest,2,F
N,F,College,654177,Under 45,N,E,Single,Y,Sales/Service,Low,Renter,West,3,D
N,F,College,308906,Under 45,Y,D,NA,N,Sales/Service,Low,Owner,West,6,B
N,NA,Less than HS,0,NA,Y,F,Single,NA,Sales/Service,Low,NA,South,8,D
N,M,College,167533,Over 65,Y,D,Married,N,Retired,Low,Owner,Northeast,2,G
Y,M,College,425590,Under 35,N,C,NA,Y,Sales/Service,Low,Owner,West,5,F
Y,F,College,199800,Under 25,Y,B,NA,N,Sales/Service,Low,Owner,Northeast,3,E
N,M,Less than HS,76590,Under 35,N,E,NA,Y,Professional,Low,Owner,Midwest,2,E
N,M,Less than HS,124488,Under 65,N,G,NA,N,Others,Low,NA,Midwest,7,B
N,NA,College,144724,NA,Y,C,NA,Y,Sales/Service,Low,Renter,South,2,K
N,F,HS,0,Under 35,N,G,Married,NA,Sales/Service,Low,Renter,South,6,C
N,M,College,131781,NA,N,G,Single,Y,Blue Collar,Low,NA,Midwest,9,D
N,F,College,528006,Under 25,Y,C,NA,NA,Professional,Low,Owner,West,1,G
N,F,College,228464,NA,Y,F,Married,Y,Sales/Service,Med,Owner,West,3,B
N,F,HS,0,Under 55,Y,G,NA,Y,Professional,Low,NA,South,2,B
N,F,HS,0,Under 65,Y,G,Married,Y,Sales/Service,Low,Owner,Northeast,7,B
N,F,College,476766,Over 65,N,E,NA,N,Retired,Low,NA,West,3,F
N,F,Grad,0,Under 45,Y,J,Married,Y,Professional,Low,Owner,South,2,E
Y,F,Bach,441995,Under 45,N,B,Married,Y,Professional,Low,Owner,South,1,E
N,F,College,0,Under 45,Y,D,NA,N,Professional,Low,Renter,Northeast,6,B
Y,M,HS,580076,NA,N,G,Single,N,Sales/Service,Low,NA,West,2,E
Y,M,Bach,398720,Under 55,Y,C,Married,NA,Sales/Service,Low,Owner,South,1,G
Y,M,College,130980,NA,N,C,Married,NA,Sales/Service,Low,Owner,South,8,E
N,M,HS,0,Under 55,Y,E,Married,Y,Blue Collar,Low,Renter,Midwest,8,E
Y,M,Grad,1117250,Under 65,N,B,Married,N,Professional,High,Owner,West,1,I
Y,M,NA,48160,NA,Y,F,NA,Y,Others,Low,Owner,South,1,D
N,F,Bach,184454,Over 65,Y,I,NA,N,Retired,Low,Owner,Midwest,2,D
Y,M,HS,298343,NA,Y,C,Married,Y,Others,Low,NA,West,7,D
Y,M,Grad,506850,Under 35,N,C,Married,Y,Professional,High,Owner,Midwest,1,L
N,M,College,379472,Under 55,N,J,Married,Y,Professional,Med,Owner,West,1,E
N,F,HS,119038,Under 35,N,I,Married,Y,Sales/Service,Low,Renter,South,5,E
N,F,HS,0,Under 25,N,G,NA,NA,Sales/Service,Low,Renter,West,9,A
N,F,College,242006,Under 55,Y,E,Married,NA,Professional,Low,Renter,South,3,G
Y,F,Grad,124260,Under 35,N,E,Married,Y,Professional,Low,Owner,Midwest,8,K
Y,F,Bach,90860,Under 35,Y,E,Married,Y,Professional,Low,Renter,Midwest,6,E
N,M,NA,530917,Under 55,N,I,Married,NA,Sales/Service,Low,Owner,Midwest,1,G
Y,M,Grad,286288,Under 45,Y,E,Married,Y,Professional,Low,Owner,West,1,F
N,F,HS,629998,Over 65,Y,I,Married,N,Retired,Low,Owner,Midwest,2,C
N,NA,Grad,194238,NA,N,I,NA,N,Sales/Service,Low,Owner,South,2,E
N,F,NA,206010,Under 35,Y,B,Married,N,Sales/Service,Low,Owner,Midwest,1,A
N,M,College,484952,Under 25,N,B,NA,NA,Sales/Service,High,Owner,South,1,I
Y,M,College,309451,Under 65,Y,I,Married,Y,Sales/Service,High,Owner,Northeast,5,F
Y,F,Bach,185131,Under 35,Y,C,Married,Y,Blue Collar,Low,Owner,South,5,E
N,F,College,345344,Under 55,Y,B,Married,Y,Professional,Low,Owner,South,3,G
N,F,HS,442400,Under 65,Y,D,NA,N,Retired,Low,Owner,South,1,H
Y,M,Bach,594819,Under 65,Y,C,Married,NA,Professional,Low,NA,Northeast,4,J
Y,NA,College,1040405,NA,N,C,Married,Y,Professional,Low,Owner,West,1,J
N,M,HS,0,Over 65,Y,A,NA,N,Sales/Service,Low,Renter,Northeast,2,E
Y,M,Bach,356397,Under 65,Y,B,Married,N,Professional,Med,Owner,South,1,J
Y,F,College,315105,Under 25,Y,E,Married,N,Professional,High,Owner,South,3,F
Y,F,College,297851,Under 55,Y,C,NA,NA,Sales/Service,High,Owner,Rest,1,E
Y,M,HS,282004,Under 55,Y,C,Married,NA,Retired,Low,Owner,Midwest,1,F
N,M,College,0,Under 45,Y,G,Single,Y,Professional,Low,Renter,Midwest,8,C
Y,F,Bach,0,Under 35,Y,G,Single,NA,Professional,Low,NA,South,3,E
Y,F,Bach,168512,Under 35,N,C,Married,Y,Sales/Service,Low,Owner,South,4,E
Y,M,Less than HS,503253,Under 55,Y,E,Married,Y,Blue Collar,High,Owner,Northeast,3,F
N,M,College,660965,NA,N,G,Married,Y,Others,Low,Renter,Northeast,7,G
Y,M,Bach,887216,Under 45,Y,C,Married,Y,Professional,High,Owner,West,2,I
N,M,Less than HS,0,Under 65,N,H,NA,N,Sales/Service,Low,NA,Northeast,3,D
Y,M,HS,221902,Under 65,Y,B,Married,N,Professional,Low,Owner,Northeast,3,E
N,F,College,0,Under 55,Y,E,Married,Y,Blue Collar,Low,Renter,Midwest,5,C
Y,M,College,197056,Under 45,N,E,Married,Y,Sales/Service,Low,Renter,West,3,E
Y,M,Bach,145515,Under 45,Y,E,Married,Y,Professional,Low,Owner,West,1,H
N,F,College,311304,Under 25,N,G,NA,Y,Sales/Service,Low,Renter,West,6,E
Y,M,College,89925,Under 55,Y,F,NA,Y,Blue Collar,Low,Owner,West,9,D
Y,F,Bach,255387,Over 65,Y,I,Married,N,Professional,Low,Owner,South,1,F
Y,F,Grad,1011672,Under 55,Y,B,NA,Y,Professional,High,Owner,South,1,E
N,M,Grad,476733,Over 65,Y,B,Married,N,Professional,Low,Owner,Midwest,1,I
Y,M,NA,533664,NA,N,B,Married,NA,Professional,High,Owner,West,6,H
Y,M,Bach,0,Under 35,Y,G,Married,NA,Professional,Low,Renter,West,8,A
N,F,Grad,103593,Under 55,N,F,Single,NA,Sales/Service,Low,Owner,Midwest,2,E
Y,M,HS,348660,Under 65,N,C,Married,N,Professional,High,Owner,South,2,H
N,F,HS,0,Under 55,Y,J,Married,NA,Blue Collar,Low,Owner,South,7,D
Y,M,College,326237,Under 65,Y,E,NA,N,Others,Low,Owner,South,2,E
Y,M,Bach,0,Under 45,N,E,Married,Y,Others,Low,Renter,South,8,F
N,M,HS,102514,Over 65,Y,J,NA,N,Retired,Low,Owner,South,7,E
Y,M,Grad,238012,Under 35,Y,C,Married,Y,Professional,Med,Owner,Midwest,1,F
Y,F,Grad,333801,Under 65,Y,B,Single,N,Professional,Low,Owner,South,1,H
N,NA,Bach,282920,NA,N,G,Single,NA,Professional,Low,Renter,Midwest,8,K
N,M,Less than HS,0,NA,N,A,Single,Y,Blue Collar,Low,NA,South,7,D
Y,F,Grad,555464,Under 35,Y,B,Married,NA,Professional,High,Owner,West,2,I
N,M,HS,59644,Under 35,N,D,NA,Y,Blue Collar,Low,Owner,South,8,A
Y,M,Grad,1856444,Under 55,Y,C,Married,NA,Professional,Low,Owner,West,6,K
N,F,HS,260640,NA,Y,B,NA,N,Others,Med,Owner,West,5,D
N,M,Less than HS,205683,Under 35,N,J,Married,NA,Sales/Service,Med,Owner,South,1,D
N,M,College,0,NA,Y,E,Married,NA,Professional,Low,Renter,Midwest,5,C
N,M,Less than HS,363460,Over 65,Y,B,NA,N,Sales/Service,Low,Owner,South,2,D
Y,M,Grad,455729,Under 45,Y,C,Married,Y,Professional,Low,Owner,South,1,J
N,M,College,0,NA,N,A,Married,NA,Professional,Low,Renter,South,8,E
Y,M,Bach,898814,Under 45,Y,C,Married,Y,Professional,High,Owner,West,1,F
Y,M,Bach,89560,Under 45,Y,A,Single,NA,Sales/Service,Low,Owner,Midwest,1,A
N,F,College,243603,Under 35,Y,D,NA,N,Sales/Service,Low,Owner,South,4,G
N,NA,College,239560,NA,N,A,NA,NA,Professional,Med,Owner,West,2,E
Y,M,HS,222212,NA,Y,E,Married,Y,Others,Med,Owner,Northeast,3,G
N,M,HS,131563,Under 45,Y,E,Married,NA,Blue Collar,Low,Owner,Midwest,1,E
N,F,College,173340,Over 65,Y,D,Married,N,Sales/Service,Low,Owner,South,2,E
Y,F,HS,129372,Under 25,Y,E,Married,Y,Sales/Service,Low,Owner,Northeast,4,F
N,M,HS,0,Under 55,N,NA,Married,N,Professional,Low,NA,Midwest,0,NA
N,M,College,154453,NA,Y,F,NA,NA,Professional,Low,Owner,West,2,F
N,M,College,0,Under 35,N,G,Single,NA,Sales/Service,Low,Owner,West,3,B
Y,M,Bach,185300,Under 45,Y,C,Married,Y,Blue Collar,Med,Owner,Midwest,1,G
Y,M,College,1096867,Under 65,Y,B,Married,N,Professional,Med,Owner,Northeast,1,H
N,NA,Less than HS,502141,Over 65,Y,B,NA,N,Retired,Low,Owner,South,1,J
Y,F,Grad,223450,Under 65,Y,B,Married,Y,Professional,Low,Owner,Midwest,1,G
N,M,College,0,NA,N,F,Married,Y,Blue Collar,Low,NA,South,9,C
N,M,College,261600,Under 45,N,A,Married,NA,Professional,Low,Renter,South,1,E
N,F,HS,144664,Under 55,Y,E,Single,N,Professional,Low,Owner,Midwest,5,H
Y,M,Bach,561840,Under 65,Y,B,Married,N,Professional,Low,Owner,Northeast,1,F
Y,F,Bach,335403,NA,Y,C,Married,Y,Sales/Service,Low,NA,West,6,K
N,F,Bach,412020,Over 65,Y,D,Married,N,Retired,Low,Owner,West,3,C
Y,M,Grad,558494,Under 65,Y,B,Married,Y,Professional,Low,Owner,South,1,L
Y,F,Bach,151467,Under 35,Y,C,Married,Y,Sales/Service,Low,Owner,South,3,E
Y,M,College,1256225,NA,Y,B,Married,N,Sales/Service,High,Owner,West,1,L
Y,M,College,174400,Under 25,Y,B,NA,Y,Sales/Service,Low,Owner,Midwest,2,F
N,F,Less than HS,0,Under 35,N,E,Single,Y,Sales/Service,Low,Renter,West,9,A
N,F,Less than HS,0,NA,N,G,Single,NA,Sales/Service,Low,Renter,West,9,C
Y,F,HS,106275,Under 55,Y,F,Married,N,Blue Collar,Low,Owner,Northeast,3,F
Y,M,Bach,0,Under 65,N,E,Single,Y,Professional,Low,Renter,Midwest,9,D
Y,F,Bach,428697,Under 55,Y,C,Married,Y,Professional,Low,Owner,West,2,J
Y,M,Bach,500397,Under 65,Y,B,Married,N,Professional,High,Owner,South,3,H
N,F,HS,67667,NA,N,E,Married,Y,Sales/Service,Low,Renter,Midwest,9,B
N,M,HS,33190,Under 25,Y,F,Married,N,Others,Low,Owner,South,6,G
N,M,Less than HS,0,NA,N,G,Single,Y,Sales/Service,Low,Renter,South,9,F
N,F,College,45344,Over 65,Y,I,Married,N,Sales/Service,Low,Owner,South,6,A
N,F,Less than HS,169059,NA,Y,F,NA,Y,Sales/Service,Med,Owner,Northeast,8,F
Y,M,Grad,185300,Under 55,Y,C,Married,Y,Professional,Low,Owner,Midwest,3,I
Y,M,HS,374960,Under 55,N,E,Married,Y,Sales/Service,Med,Owner,Northeast,1,E
N,M,College,119880,Under 25,Y,I,NA,N,Farm,Low,Owner,Midwest,4,G
Y,M,Grad,220049,Under 35,Y,A,Single,N,Sales/Service,Med,Owner,Northeast,2,A
Y,M,College,323435,Under 55,Y,C,Married,Y,Professional,Low,Owner,South,1,F
N,M,College,0,Under 45,Y,A,Single,Y,Blue Collar,Low,Renter,West,6,F
N,F,College,172209,Under 65,N,D,Married,N,Professional,Low,Owner,South,1,E
N,M,Bach,167097,Under 35,N,B,NA,N,Blue Collar,Low,Owner,Northeast,5,F
Y,M,Grad,273720,Under 35,Y,B,NA,NA,Professional,Low,Owner,Northeast,1,F
N,M,Less than HS,798061,Under 65,Y,C,Married,Y,Retired,Low,Renter,West,1,L
N,NA,College,271846,NA,Y,D,NA,N,Sales/Service,Low,Owner,South,1,H
Y,M,Bach,438016,Under 55,Y,B,Married,NA,Professional,Low,Owner,Northeast,1,J
N,M,College,158366,Under 45,N,E,Married,Y,Blue Collar,Low,Owner,Midwest,6,C
Y,F,HS,40439,Under 65,Y,B,Married,Y,Sales/Service,Low,Owner,Midwest,2,E
Y,F,HS,384552,Under 55,Y,C,NA,NA,Professional,Low,Owner,South,1,G
Y,M,Bach,142080,Under 45,Y,D,NA,N,Professional,Low,Owner,Midwest,1,G
N,M,Grad,354032,Under 55,Y,D,Married,N,Blue Collar,Med,Owner,South,1,C
N,F,Bach,153802,Under 35,N,C,Married,Y,Professional,Low,Renter,South,3,E
N,F,HS,0,Under 25,N,G,NA,NA,Sales/Service,Low,Renter,West,3,D
N,F,College,261491,Under 55,N,H,NA,Y,Sales/Service,Low,Owner,West,6,E
Y,F,HS,0,Under 55,Y,F,Single,Y,Sales/Service,Low,Owner,South,2,C
N,M,Less than HS,549360,Under 55,N,F,Married,Y,Blue Collar,High,Owner,West,2,D
Y,M,Grad,512300,Under 35,Y,C,NA,Y,Professional,High,Owner,West,1,F
N,M,College,166116,Under 35,Y,C,Married,Y,Sales/Service,Low,Renter,Midwest,3,E
N,F,Bach,298551,Under 65,Y,I,Married,Y,Professional,High,Owner,South,2,A
N,F,Grad,776265,Under 45,Y,C,Married,Y,Professional,Low,Renter,Northeast,1,J
N,M,Less than HS,170040,Under 45,N,G,Single,Y,Blue Collar,Med,Owner,West,7,B
Y,M,HS,276347,Under 35,Y,F,Single,Y,Blue Collar,Low,Owner,South,3,E
Y,M,College,1019389,Under 45,Y,C,NA,Y,Professional,Low,Owner,South,1,H
Y,M,College,575356,Under 25,N,C,NA,Y,Professional,Med,Owner,West,3,G
Y,M,Grad,282582,NA,Y,B,NA,NA,Sales/Service,Low,Owner,Midwest,3,G
Y,F,HS,113076,NA,Y,F,NA,N,Others,Low,Owner,Midwest,3,E
N,F,HS,258918,Over 65,Y,E,NA,N,Retired,Low,Owner,South,2,E
N,M,Bach,91233,Under 45,Y,J,Married,Y,Blue Collar,Low,Owner,Midwest,5,D
Y,M,NA,0,NA,Y,E,Single,Y,Professional,Low,Renter,Northeast,2,G
Y,F,Bach,306944,Under 65,Y,B,NA,N,Professional,Med,Owner,South,2,F
Y,M,Grad,350020,Under 35,N,E,Married,Y,Blue Collar,High,Owner,Northeast,3,E
N,F,College,0,Under 35,Y,G,NA,N,Sales/Service,Low,Renter,West,5,A
N,F,College,438915,Over 65,N,D,Married,N,Retired,Low,Owner,South,2,A
N,F,HS,0,Under 45,N,F,Married,NA,Others,Low,Owner,South,8,F
N,F,Less than HS,0,NA,N,G,Single,Y,Retired,Low,Renter,South,9,B
N,M,Bach,342129,Under 35,Y,E,NA,Y,Blue Collar,Low,Owner,Northeast,3,D
N,M,College,386280,Under 45,N,C,Married,Y,Blue Collar,Low,Owner,Midwest,1,G
N,M,Grad,238928,Over 65,Y,B,Married,N,Retired,Low,Owner,Midwest,2,G
Y,F,Less than HS,568980,Under 45,Y,B,Married,NA,Professional,High,Owner,Midwest,1,I
N,F,Bach,215820,Under 45,Y,B,Married,Y,Blue Collar,Low,Owner,South,4,F
Y,F,Bach,496386,Under 35,Y,B,Single,NA,Sales/Service,Low,Owner,South,1,E
Y,M,College,95462,Under 55,N,F,NA,N,Professional,Low,Owner,Midwest,8,C
Y,M,Bach,417644,Under 65,Y,B,Married,N,Sales/Service,Med,Owner,Northeast,1,K
N,M,College,283015,Under 45,N,E,Married,NA,Blue Collar,Low,NA,South,3,G
Y,F,College,155325,NA,Y,F,Married,Y,Sales/Service,Low,NA,Midwest,7,D
N,M,HS,83930,Under 55,N,I,Married,N,Others,Low,Owner,Midwest,7,E
N,M,HS,414799,Under 55,N,E,Single,N,Blue Collar,Low,Owner,Midwest,2,B
Y,M,Bach,252880,Under 45,Y,G,Single,NA,Blue Collar,Low,Renter,West,5,H
N,M,HS,0,Over 65,N,D,Married,N,Retired,Low,Owner,Northeast,2,H
Y,M,HS,0,NA,N,G,Single,N,Sales/Service,Low,Renter,Midwest,9,C
Y,F,Less than HS,221815,Under 55,Y,E,Married,Y,Professional,Med,Owner,South,1,F
Y,F,Bach,275900,Under 55,Y,C,Married,Y,Professional,Low,Owner,West,3,E
N,F,HS,113220,Over 65,Y,B,NA,N,Retired,Low,Owner,South,2,G
N,F,HS,113932,Under 35,Y,E,NA,N,Sales/Service,Low,Owner,Midwest,5,D
Y,F,Grad,117022,Under 65,Y,E,Married,NA,Retired,Low,Owner,South,3,E
N,NA,Grad,177125,NA,N,F,NA,NA,Sales/Service,Med,Owner,West,7,G
N,F,Grad,0,Under 35,N,F,Married,Y,Others,Low,Owner,Midwest,4,E
Y,F,Bach,299303,Under 25,Y,C,NA,Y,Professional,High,Owner,South,1,G
Y,M,Less than HS,1064548,Under 35,N,B,Married,N,Sales/Service,High,Owner,West,1,L
N,F,College,599500,Under 25,Y,B,NA,N,Blue Collar,High,Owner,West,1,F
N,M,Less than HS,174356,Under 65,N,E,NA,N,Others,Low,Owner,South,2,D
N,M,Grad,150318,Under 35,Y,E,Married,NA,Others,Low,Renter,West,8,E
N,F,HS,0,Under 55,N,D,NA,N,Others,Low,NA,West,7,D
Y,M,HS,197072,Under 65,Y,F,NA,Y,Sales/Service,Med,Owner,West,7,F
N,F,College,159706,Under 55,Y,D,NA,N,Professional,Low,Owner,South,3,B
N,F,HS,321942,Under 55,Y,F,NA,Y,Sales/Service,Low,Renter,Northeast,3,D
Y,M,Grad,548379,Under 55,Y,B,Married,N,Professional,Low,Owner,Midwest,2,J
Y,M,Grad,1096137,Under 35,Y,C,Married,Y,Blue Collar,High,Owner,Midwest,1,G
N,F,HS,0,NA,Y,C,Married,NA,Sales/Service,Low,Owner,West,9,E
Y,M,College,0,Under 65,Y,E,Single,N,Professional,Low,Renter,Northeast,3,B
N,F,Less than HS,23805,Over 65,Y,G,NA,NA,Retired,Low,Renter,Northeast,4,D
N,M,College,0,Under 55,Y,E,Married,Y,Professional,Low,Owner,Midwest,1,E
Y,F,HS,357116,Under 55,Y,C,Married,Y,Sales/Service,Med,Owner,Midwest,2,H
Y,M,Grad,507405,Under 55,Y,C,Married,Y,Professional,Med,Owner,South,1,J
N,F,HS,148681,Under 55,Y,G,NA,Y,Professional,Low,Renter,South,2,E
N,M,College,156469,Under 55,Y,F,NA,N,Sales/Service,Med,Owner,South,3,F
N,M,HS,0,Under 45,Y,C,NA,N,Sales/Service,Low,Owner,South,2,F
Y,F,HS,0,Under 55,Y,B,Single,NA,Sales/Service,Low,Renter,Northeast,2,D
N,M,College,207100,NA,Y,E,Married,NA,Blue Collar,Med,Owner,South,8,D
Y,M,College,296687,Under 55,Y,B,Married,N,Sales/Service,Low,Owner,Midwest,3,G
Y,M,HS,0,Under 55,Y,E,Married,N,Blue Collar,Low,Owner,South,4,E
Y,M,Grad,361335,Under 65,Y,B,Married,N,Professional,Low,Owner,Midwest,1,J
Y,M,College,295444,Under 55,Y,E,Married,Y,Professional,Low,Owner,Midwest,1,G
Y,F,HS,346301,Under 35,N,C,Married,Y,Sales/Service,High,Owner,Northeast,4,F
N,M,Less than HS,66080,NA,N,F,Married,Y,Blue Collar,Low,Renter,Midwest,9,A
Y,M,Grad,896928,Under 55,N,B,NA,Y,Professional,Med,Owner,Northeast,5,K
N,M,HS,217455,Under 65,N,B,Married,N,Blue Collar,Low,Owner,Northeast,3,E
Y,NA,Bach,523200,NA,Y,B,NA,Y,Professional,High,Owner,South,3,G
Y,M,Grad,663570,Under 65,N,C,Married,N,Professional,Med,Owner,South,2,J
Y,F,Bach,1032448,Under 35,Y,C,NA,Y,Professional,Low,Owner,South,1,I
N,F,Less than HS,692259,NA,N,G,Married,Y,Sales/Service,Low,Renter,Northeast,3,E
Y,F,Grad,578332,Under 65,Y,B,Single,N,Professional,Low,Owner,Midwest,1,I
Y,F,College,0,Under 45,Y,J,Married,NA,Blue Collar,Low,Owner,Midwest,6,E
